idx,instance_key,kept_count,total,kept_ids,removed_ids,lp,ilp,ratio
35,f95ba2ceb0f1be418fd155f62f32ff96,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
36,c71d48bb54047d2e6cc7812ca54e0f05,12,14,1;2;3;4;6;7;8;9;10;11;12;14,5;13,6.000000,4.000000,1.500000
37,551dc05a9039d29e2a9895a99aad5681,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
38,d3a70bd47051fb0fb03659cb44638b19,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
39,282c5f2a73c2f4977f3a15b50d3d2470,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
40,49d6e79e8c6a41a7fc0b2e6fdd16e7bb,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
41,f77505ee0ef8ece4ede6525436d6467d,12,14,1;2;4;5;6;7;8;9;10;11;12;13,3;14,6.000000,4.000000,1.500000
42,fd8632443663758550dc87c0581cb079,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
43,8ed01de04e4f4150bb7c9273d279f99a,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
44,d7d5e78948edc85703bb87f3a2f925d6,12,14,1;2;3;4;6;7;8;9;10;11;12;14,5;13,6.000000,4.000000,1.500000
45,ead7b103f10b5e07ec531044a4851b6a,12,14,1;2;3;4;5;6;8;9;10;11;12;14,7;13,6.000000,4.000000,1.500000
46,4f78ada35df230187aacbd9e033a2309,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
47,627775821b2af9312f8ea78f3bef9eb1,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
48,82ab3bbcba47abcb490cf4d484360814,12,14,1;2;4;5;6;7;8;9;10;11;13;14,3;12,6.000000,4.000000,1.500000
49,2300514774c98fb78e639a3862e2b7a1,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
50,d1181db09919df8ae882cb638f94b413,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
51,6a6b7a8d37373c26724cf588ae75823c,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
52,d0b66bf280d73512c303c9d22b3e2978,12,14,1;2;3;5;6;7;8;9;10;11;12;14,4;13,6.000000,4.000000,1.500000
53,fde094b31cc07604a2fc56e3c315b3b0,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
54,04eabc6859137a7de5a420a9cecf6dca,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
55,1b60719741a9dc7e14e3fcbd741af310,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
56,14e126b34e99f04af5696aae58af6ab2,13,14,1;2;3;4;5;6;7;8;9;10;11;12;14,13,6.000000,4.000000,1.500000
57,ed5d0d6992ac1f46e281250c314f9206,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
58,5c04f42bc5b88ed877c1611e7ed338d7,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
59,c5da5baad1fa612c25d45a6afcf45f6f,12,14,1;2;4;5;6;7;8;9;10;11;12;14,3;13,6.000000,4.000000,1.500000
60,346ed5e8f9108008c06db5562f7c8f0f,12,14,1;2;3;4;5;7;8;9;10;11;12;14,6;13,6.000000,4.000000,1.500000
